variant,margin_m,band_m,cohort,threshold,observations,instances,scenes,lidar_supported,radar_supported,both,lidar_only,radar_only,neither,lidar_percent,radar_percent,difference_pp,min_range_m,max_range_m,eligible_scenes,lidar_wins,radar_wins,tied_scenes,equal_scene_lidar_percent,equal_scene_radar_percent,equal_scene_difference_pp,min_scene_difference_pp,max_scene_difference_pp,leave_one_scene_out_min_pp,equal_track_lidar_percent,equal_track_radar_percent
static,0,250-300,vehicles,5,166,44,4,121,6,6,115,0,45,72.89156626506023,3.614457831325301,69.27710843373494,250.0497157484766,299.80861071369907,4,4,0,0,71.9572739551883,3.4542348641347527,68.50303909105355,51.724137931034484,80.64516129032259,64.45566502463055,65.80584066471164,6.25
static,0,250-300,passenger_cars,1,82,8,3,68,28,26,42,2,12,82.92682926829268,34.146341463414636,48.78048780487804,250.60822551614362,297.8225789709488,3,3,0,0,85.76949620427881,30.64182194616977,55.12767425810904,28.57142857142857,93.33333333333333,36.024844720496894,63.687140804597696,42.42995689655172
static,0,250-300,passenger_cars,3,82,8,3,66,1,1,65,0,16,80.48780487804879,1.2195121951219512,79.26829268292683,250.60822551614362,297.8225789709488,3,3,0,0,82.82263630089717,0.7246376811594203,82.09799861973777,73.91304347826087,86.66666666666667,79.8136645962733,62.42277298850575,0.78125
static,0,250-300,passenger_cars,5,82,8,3,61,0,0,61,0,21,74.39024390243902,0.0,74.39024390243902,250.60822551614362,297.8225789709488,3,3,0,0,75.97653554175294,0.0,75.97653554175294,71.73913043478261,80.0,73.9648033126294,47.446120689655174,0.0
static,0,250-300,forward_vehicles,1,109,33,4,90,57,49,41,8,11,82.56880733944955,52.293577981651374,30.27522935779817,250.0497157484766,299.80861071369907,4,3,1,0,80.00827142451183,55.8376973977997,24.17057402671213,-5.555555555555558,47.826086956521735,16.28540305010893,68.29545454545455,58.90151515151515
static,0,250-300,forward_vehicles,3,109,33,4,87,10,10,77,0,22,79.81651376146789,9.174311926605505,70.64220183486239,250.0497157484766,299.80861071369907,4,4,0,0,78.37783664190314,8.40209272114643,69.97574392075671,44.44444444444445,85.71428571428572,64.7295633229137,66.57828282828284,13.320707070707071
static,0,250-300,forward_vehicles,5,109,33,4,80,6,6,74,0,29,73.39449541284404,5.5045871559633035,67.88990825688074,250.0497157484766,299.80861071369907,4,4,0,0,72.18390979580238,4.455659075224292,67.72825072057809,38.888888888888886,88.23529411764706,60.89256958822176,58.358585858585855,9.090909090909092
static,0,250-300,all,1,325,93,5,154,66,58,96,8,163,47.38461538461539,20.307692307692307,27.076923076923077,250.0497157484766,299.80861071369907,5,4,0,1,43.97465507864639,22.085840388311205,21.88881469033519,0.0,32.28346456692913,19.290152221186705,41.339894785524336,20.839836975372876
static,0,250-300,all,3,325,93,5,137,10,10,127,0,188,42.15384615384615,3.076923076923077,39.07692307692307,250.0497157484766,299.80861071369907,5,4,0,1,41.18399039821793,2.9488168592159902,38.235173539001934,0.0,62.06896551724138,32.27672554444208,36.09131113423518,4.009856630824372
static,0,250-300,all,5,325,93,5,121,6,6,115,0,204,37.230769230769226,1.8461538461538463,35.38461538461538,250.0497157484766,299.80861071369907,5,4,0,1,35.84817834396982,1.7640208767007572,34.084157467269065,0.0,55.55555555555555,28.716307945197443,31.133946120938834,2.956989247311828
static,0,300-400,vehicles,1,165,33,4,132,21,16,116,5,28,80.0,12.727272727272727,67.27272727272728,301.1243306220302,397.6820703976072,4,4,0,0,72.95462432760715,20.56076117762739,52.39386314997976,23.52941176470588,77.87610619469027,43.89978213507626,66.71685802120585,21.139971139971134
static,0,300-400,vehicles,3,165,33,4,120,6,5,115,1,44,72.72727272727273,3.6363636363636362,69.0909090909091,301.1243306220302,397.6820703976072,4,4,0,0,64.21640927757534,3.662733529990167,60.553675747585174,47.05882352941176,75.2212389380531,55.66448801742919,59.20383963862225,7.431457431457431
