variant,elevation_deg,band_m,group,tolerance_m,frames,reference_voxels,lidar_supported,lidar_percent,lidar_equal_frame_percent,radar_supported,radar_percent,radar_equal_frame_percent
aligned,10,10-20,near_ground_geometry,0.4,15,3179,2753,86.59955960994023,87.63095937574512,84,2.6423403586033345,2.9062712107894897
aligned,10,10-20,near_ground_geometry,0.8,15,3179,3169,99.68543567159485,99.78260985839977,515,16.200062912865683,17.12835366041401
aligned,10,10-20,near_ground_geometry,1.2,15,3179,3179,100.0,100.0,1221,38.4083044982699,38.53947586017501
aligned,10,10-20,nontraversable_label,0.4,20,13344,9427,70.64598321342926,73.63639626491863,578,4.331534772182255,4.545788052428802
aligned,10,10-20,nontraversable_label,0.8,20,13344,12727,95.37619904076739,95.66948454148925,2787,20.885791366906474,21.548387679843955
aligned,10,10-20,nontraversable_label,1.2,20,13344,13182,98.78597122302158,98.4273584833875,5370,40.242805755395686,40.90839765337599
aligned,10,10-20,potential_label,0.4,20,18394,14376,78.15592040882896,77.47318428627173,662,3.5989996738066763,3.4265177250753114
aligned,10,10-20,potential_label,0.8,20,18394,17997,97.8416875067957,95.31769603797825,3499,19.022507339349787,19.034676783956012
aligned,10,10-20,potential_label,1.2,20,18394,18291,99.44003479395455,96.98225305827035,6588,35.81602696531478,37.063838723448924
aligned,10,10-20,raised_geometry,0.4,15,3011,2009,66.72201926270343,69.78575068534361,175,5.812022583859183,5.752947776952605
aligned,10,10-20,raised_geometry,0.8,15,3011,2898,96.24709398870807,97.00734300048161,791,26.270342079043505,25.12402320613021
aligned,10,10-20,raised_geometry,1.2,15,3011,3009,99.9335768847559,99.85172413793104,1447,48.05712387910993,46.69638603934087
aligned,10,10-20,traversable_label,0.4,16,3896,3034,77.87474332648871,73.54264849941686,126,3.2340862422997945,3.0973278548776007
aligned,10,10-20,traversable_label,0.8,16,3896,3829,98.28028747433265,98.35134259923879,619,15.888090349075975,14.377931959088489
aligned,10,10-20,traversable_label,1.2,16,3896,3893,99.92299794661191,99.90773582395408,1371,35.18993839835729,32.05275834465114
aligned,10,2-10,near_ground_geometry,0.4,20,2375,2242,94.4,94.63447954103341,75,3.1578947368421053,2.7979376005822845
aligned,10,2-10,near_ground_geometry,0.8,20,2375,2375,100.0,100.0,467,19.66315789473684,18.717648073586368
aligned,10,2-10,near_ground_geometry,1.2,20,2375,2375,100.0,100.0,1067,44.92631578947368,45.0491528775255
aligned,10,2-10,nontraversable_label,0.4,20,10933,9751,89.18869477727979,89.81200843642792,447,4.08853928473429,4.021745609693244
aligned,10,2-10,nontraversable_label,0.8,20,10933,10776,98.56398060916491,98.47916118155099,2362,21.604317204792828,21.521827311466204
aligned,10,2-10,nontraversable_label,1.2,20,10933,10876,99.47864264154396,99.43160454384495,4791,43.821457971279614,43.84819818958867
aligned,10,2-10,potential_label,0.4,20,22822,20780,91.05249320830778,91.63133540856894,1054,4.618350714223118,5.0859187430496835
aligned,10,2-10,potential_label,0.8,20,22822,22715,99.53115414950486,99.53794926610443,5377,23.560599421610725,25.047707891027237
aligned,10,2-10,potential_label,1.2,20,22822,22800,99.90360178774867,99.89332965354842,10341,45.31154149504864,48.448844736266956
aligned,10,2-10,raised_geometry,0.4,20,4833,4444,91.95116904614112,91.28226725182364,311,6.4349265466583905,9.193847931381677
aligned,10,2-10,raised_geometry,0.8,20,4833,4830,99.93792675356922,99.84811529933481,1496,30.95385888681978,32.5215265592529
aligned,10,2-10,raised_geometry,1.2,20,4833,4833,100.0,100.0,2833,58.61783571280778,57.79848023738551
aligned,10,2-10,traversable_label,0.4,20,3558,3240,91.06239460370995,91.13097916874193,167,4.693648116919618,6.026495072808695
aligned,10,2-10,traversable_label,0.8,20,3558,3556,99.94378864530636,99.923444024657,842,23.66498032602586,24.705005543406525
aligned,10,2-10,traversable_label,1.2,20,3558,3557,99.97189432265317,99.9468085106383,1752,49.24114671163575,48.4706112722031
aligned,10,20-30,near_ground_geometry,0.4,12,835,591,70.77844311377245,67.47932305493599,20,2.395209580838323,2.1338352318167657
aligned,10,20-30,near_ground_geometry,0.8,12,835,820,98.20359281437126,95.51249676249677,151,18.08383233532934,16.382196045558146
aligned,10,20-30,near_ground_geometry,1.2,12,835,831,99.52095808383234,97.43589743589745,408,48.862275449101794,43.90598295670613
aligned,10,20-30,nontraversable_label,0.4,20,12448,7158,57.503213367609256,61.08916709842093,450,3.615038560411311,3.564834485542473
aligned,10,20-30,nontraversable_label,0.8,20,12448,11278,90.6008997429306,92.17400478755857,2209,17.74582262210797,17.783471913320728
aligned,10,20-30,nontraversable_label,1.2,20,12448,12031,96.65006426735218,97.35946713751737,4196,33.70822622107969,33.11746760301979
aligned,10,20-30,potential_label,0.4,19,6127,4075,66.50889505467602,60.899772279768634,214,3.4927370654480168,3.1930455922554244
aligned,10,20-30,potential_label,0.8,19,6127,5907,96.40933572710952,92.5443807248189,987,16.109025624285948,15.351567764810849
aligned,10,20-30,potential_label,1.2,19,6127,6073,99.1186551330178,96.3427113573514,1814,29.60665905010609,28.393623107348933
aligned,10,20-30,raised_geometry,0.4,11,713,345,48.38709677419355,56.91332104009493,65,9.1164095371669,9.588856731308319
aligned,10,20-30,raised_geometry,0.8,11,713,572,80.22440392706872,87.78435919373395,239,33.520336605890606,33.02413380390713
aligned,10,20-30,raised_geometry,1.2,11,713,654,91.72510518934081,95.68612440191387,391,54.83870967741935,49.8926850948058
aligned,10,20-30,traversable_label,0.4,12,1653,998,60.375075620084694,57.67036129766735,78,4.718693284936479,4.972285763232092
aligned,10,20-30,traversable_label,0.8,12,1653,1484,89.7761645493043,88.85258294111674,362,21.89957652752571,22.533385233280285
aligned,10,20-30,traversable_label,1.2,12,1653,1588,96.06775559588627,94.77761500938459,727,43.98064125831821,42.658439415767404
aligned,10,30-40,near_ground_geometry,0.4,7,170,102,60.0,43.263909046172934,6,3.5294117647058822,3.639921722113503
aligned,10,30-40,near_ground_geometry,0.8,7,170,156,91.76470588235294,76.60084208029413,32,18.823529411764707,12.3896499238965
aligned,10,30-40,near_ground_geometry,1.2,7,170,167,98.23529411764706,85.71428571428571,66,38.8235294117647,27.599478147423355
aligned,10,30-40,nontraversable_label,0.4,19,7973,3896,48.86491910196914,51.44097551088866,334,4.189138341903925,3.819187305774623
aligned,10,30-40,nontraversable_label,0.8,19,7973,6700,84.03361344537815,86.47320930063691,1518,19.039257494042392,18.334467412512478
aligned,10,30-40,nontraversable_label,1.2,19,7973,7435,93.25222626363978,94.49326891510975,2879,36.10936912078264,36.42006521272199
aligned,10,30-40,potential_label,0.4,16,2133,1249,58.55602437880919,57.228121549027584,34,1.5939990623534928,1.8535397292834208
aligned,10,30-40,potential_label,0.8,16,2133,1986,93.10829817158931,93.58051388457194,239,11.204875761837787,13.049661107406344
aligned,10,30-40,potential_label,1.2,16,2133,2087,97.84341303328645,98.36610082360107,484,22.691045475855603,26.639019690071855
aligned,10,30-40,raised_geometry,0.4,6,87,44,50.57471264367816,32.996201329534664,4,4.597701149425287,2.4691358024691357
aligned,10,30-40,raised_geometry,0.8,6,87,81,93.10344827586206,74.81481481481482,27,31.03448275862069,16.690408357075025
aligned,10,30-40,raised_geometry,1.2,6,87,84,96.55172413793103,76.66666666666667,59,67.816091954023,42.065527065527064
aligned,10,30-40,traversable_label,0.4,10,872,425,48.73853211009175,43.006824830358326,39,4.472477064220183,4.328735347613507
aligned,10,30-40,traversable_label,0.8,10,872,721,82.68348623853211,77.52705285160421,199,22.821100917431192,18.241208195518613
aligned,10,30-40,traversable_label,1.2,10,872,787,90.25229357798165,86.01839343152191,401,45.98623853211009,38.8604270592643
aligned,20,10-20,near_ground_geometry,0.4,15,3179,2753,86.59955960994023,87.63095937574512,84,2.6423403586033345,2.9062712107894897
aligned,20,10-20,near_ground_geometry,0.8,15,3179,3169,99.68543567159485,99.78260985839977,515,16.200062912865683,17.12835366041401
aligned,20,10-20,near_ground_geometry,1.2,15,3179,3179,100.0,100.0,1221,38.4083044982699,38.53947586017501
aligned,20,10-20,nontraversable_label,0.4,20,14133,10059,71.1738484398217,73.74419911260217,590,4.174626760065096,4.326522878345098
aligned,20,10-20,nontraversable_label,0.8,20,14133,13507,95.57065025118517,95.8665834859875,2886,20.42029293143706,20.840216850790256
aligned,20,10-20,nontraversable_label,1.2,20,14133,13968,98.83251963489705,98.52460905515679,5610,39.69433241350032,40.10567021706008
aligned,20,10-20,potential_label,0.4,20,18394,14376,78.15592040882896,77.47318428627173,662,3.5989996738066763,3.4265177250753114
aligned,20,10-20,potential_label,0.8,20,18394,17997,97.8416875067957,95.31769603797825,3499,19.022507339349787,19.034676783956012
aligned,20,10-20,potential_label,1.2,20,18394,18291,99.44003479395455,96.98225305827035,6588,35.81602696531478,37.063838723448924
aligned,20,10-20,raised_geometry,0.4,15,3014,2010,66.68878566688785,69.73813689806062,175,5.806237558062375,5.7474778502149935
aligned,20,10-20,raised_geometry,0.8,15,3014,2901,96.25082946250829,97.00992397867235,791,26.244193762441938,25.090885907403273
aligned,20,10-20,raised_geometry,1.2,15,3014,3012,99.93364299933643,99.85172413793104,1448,48.04246848042469,46.65559371754794
aligned,20,10-20,traversable_label,0.4,16,3898,3035,77.86044125192406,73.51955754537576,126,3.23242688558235,3.095158016362131
aligned,20,10-20,traversable_label,0.8,16,3898,3831,98.2811698306824,98.35463853166797,619,15.879938429964085,14.366178742914474
aligned,20,10-20,traversable_label,1.2,16,3898,3895,99.92303745510519,99.90808651411231,1371,35.17188301693176,32.02167922511809
aligned,20,2-10,near_ground_geometry,0.4,20,4417,4158,94.13629160063391,94.55681759303077,112,2.535657686212361,2.2595781170458116
aligned,20,2-10,near_ground_geometry,0.8,20,4417,4417,100.0,100.0,798,18.066561014263076,17.179062751289543
aligned,20,2-10,near_ground_geometry,1.2,20,4417,4417,100.0,100.0,1931,43.71745528639348,42.80306177572382
aligned,20,2-10,nontraversable_label,0.4,20,13362,11921,89.2156862745098,89.67501187206439,516,3.8616973506960037,3.8134963324581492
aligned,20,2-10,nontraversable_label,0.8,20,13362,13187,98.69031582098488,98.64080814015293,2755,20.618170932495136,20.544095770307162
