band_m,true_class,true_group,predicted_class,points
0-25,traffic_sign,obstacle_candidate,artificial_ground,0
0-25,traffic_sign,obstacle_candidate,natural_ground,0
0-25,traffic_sign,obstacle_candidate,obstacle,526
0-25,traffic_sign,obstacle_candidate,vehicle,0
0-25,traffic_sign,obstacle_candidate,vegetation,46
0-25,traffic_sign,obstacle_candidate,human,0
0-25,undefined,excluded,other,1
0-25,undefined,excluded,artificial_structures,0
0-25,undefined,excluded,artificial_ground,1
0-25,undefined,excluded,natural_ground,2
0-25,undefined,excluded,obstacle,1
0-25,undefined,excluded,vehicle,0
0-25,undefined,excluded,vegetation,2
0-25,undefined,excluded,human,0
100-150,asphalt,ground_surface,other,0
100-150,asphalt,ground_surface,artificial_structures,0
100-150,asphalt,ground_surface,artificial_ground,34
100-150,asphalt,ground_surface,natural_ground,96
100-150,asphalt,ground_surface,obstacle,0
100-150,asphalt,ground_surface,vehicle,0
100-150,asphalt,ground_surface,vegetation,19
100-150,asphalt,ground_surface,human,0
100-150,building,obstacle_candidate,other,0
100-150,building,obstacle_candidate,artificial_structures,22038
100-150,building,obstacle_candidate,artificial_ground,376
100-150,building,obstacle_candidate,natural_ground,1421
100-150,building,obstacle_candidate,obstacle,213
100-150,building,obstacle_candidate,vehicle,0
100-150,building,obstacle_candidate,vegetation,1268
100-150,building,obstacle_candidate,human,0
100-150,bush,vegetation,other,0
100-150,bush,vegetation,artificial_structures,99
100-150,bush,vegetation,artificial_ground,0
100-150,bush,vegetation,natural_ground,136
100-150,bush,vegetation,obstacle,214
100-150,bush,vegetation,vehicle,2
100-150,bush,vegetation,vegetation,40863
100-150,bush,vegetation,human,0
100-150,container,obstacle_candidate,other,0
100-150,container,obstacle_candidate,artificial_structures,0
100-150,container,obstacle_candidate,artificial_ground,0
100-150,container,obstacle_candidate,natural_ground,1
100-150,container,obstacle_candidate,obstacle,51
100-150,container,obstacle_candidate,vehicle,0
100-150,container,obstacle_candidate,vegetation,7
100-150,container,obstacle_candidate,human,0
100-150,fence,obstacle_candidate,other,0
100-150,fence,obstacle_candidate,artificial_structures,0
100-150,fence,obstacle_candidate,artificial_ground,4
100-150,fence,obstacle_candidate,natural_ground,102
100-150,fence,obstacle_candidate,obstacle,164
100-150,fence,obstacle_candidate,vehicle,0
100-150,fence,obstacle_candidate,vegetation,683
100-150,fence,obstacle_candidate,human,0
100-150,heavy_machinery,obstacle_candidate,other,0
100-150,heavy_machinery,obstacle_candidate,artificial_structures,0
100-150,heavy_machinery,obstacle_candidate,artificial_ground,0
100-150,heavy_machinery,obstacle_candidate,natural_ground,17
100-150,heavy_machinery,obstacle_candidate,obstacle,77
100-150,heavy_machinery,obstacle_candidate,vehicle,50
100-150,heavy_machinery,obstacle_candidate,vegetation,16
100-150,heavy_machinery,obstacle_candidate,human,0
100-150,hedge,vegetation,other,0
100-150,hedge,vegetation,artificial_structures,42
100-150,hedge,vegetation,artificial_ground,1
100-150,hedge,vegetation,natural_ground,584
100-150,hedge,vegetation,obstacle,172
100-150,hedge,vegetation,vehicle,0
100-150,hedge,vegetation,vegetation,38324
