band_m,true_class,true_group,predicted_class,points
75-100,asphalt,ground_surface,vehicle,0
75-100,asphalt,ground_surface,vegetation,51
75-100,asphalt,ground_surface,human,0
75-100,building,obstacle_candidate,other,0
75-100,building,obstacle_candidate,artificial_structures,21322
75-100,building,obstacle_candidate,artificial_ground,2
75-100,building,obstacle_candidate,natural_ground,322
75-100,building,obstacle_candidate,obstacle,584
75-100,building,obstacle_candidate,vehicle,28
75-100,building,obstacle_candidate,vegetation,1808
75-100,building,obstacle_candidate,human,0
75-100,bush,vegetation,other,0
75-100,bush,vegetation,artificial_structures,2
75-100,bush,vegetation,artificial_ground,3
75-100,bush,vegetation,natural_ground,125
75-100,bush,vegetation,obstacle,43
75-100,bush,vegetation,vehicle,0
75-100,bush,vegetation,vegetation,42370
75-100,bush,vegetation,human,0
75-100,container,obstacle_candidate,other,0
75-100,container,obstacle_candidate,artificial_structures,0
75-100,container,obstacle_candidate,artificial_ground,0
75-100,container,obstacle_candidate,natural_ground,0
75-100,container,obstacle_candidate,obstacle,15
75-100,container,obstacle_candidate,vehicle,0
75-100,container,obstacle_candidate,vegetation,3
75-100,container,obstacle_candidate,human,0
75-100,fence,obstacle_candidate,other,0
75-100,fence,obstacle_candidate,artificial_structures,0
75-100,fence,obstacle_candidate,artificial_ground,0
75-100,fence,obstacle_candidate,natural_ground,76
75-100,fence,obstacle_candidate,obstacle,669
75-100,fence,obstacle_candidate,vehicle,0
75-100,fence,obstacle_candidate,vegetation,1309
75-100,fence,obstacle_candidate,human,0
75-100,heavy_machinery,obstacle_candidate,other,0
75-100,heavy_machinery,obstacle_candidate,artificial_structures,0
75-100,heavy_machinery,obstacle_candidate,artificial_ground,0
75-100,heavy_machinery,obstacle_candidate,natural_ground,17
75-100,heavy_machinery,obstacle_candidate,obstacle,42
75-100,heavy_machinery,obstacle_candidate,vehicle,42
75-100,heavy_machinery,obstacle_candidate,vegetation,23
75-100,heavy_machinery,obstacle_candidate,human,0
75-100,hedge,vegetation,other,0
75-100,hedge,vegetation,artificial_structures,4
75-100,hedge,vegetation,artificial_ground,0
75-100,hedge,vegetation,natural_ground,184
75-100,hedge,vegetation,obstacle,81
75-100,hedge,vegetation,vehicle,0
75-100,hedge,vegetation,vegetation,40754
75-100,hedge,vegetation,human,0
75-100,high_grass,vegetation,other,0
75-100,high_grass,vegetation,artificial_structures,0
75-100,high_grass,vegetation,artificial_ground,26
75-100,high_grass,vegetation,natural_ground,1001
75-100,high_grass,vegetation,obstacle,107
75-100,high_grass,vegetation,vehicle,7
75-100,high_grass,vegetation,vegetation,2826
75-100,high_grass,vegetation,human,0
75-100,low_grass,ground_cover,other,0
75-100,low_grass,ground_cover,artificial_structures,0
75-100,low_grass,ground_cover,artificial_ground,20
75-100,low_grass,ground_cover,natural_ground,6067
75-100,low_grass,ground_cover,obstacle,29
75-100,low_grass,ground_cover,vehicle,3
75-100,low_grass,ground_cover,vegetation,3909
75-100,low_grass,ground_cover,human,0
75-100,misc_sign,obstacle_candidate,other,0
75-100,misc_sign,obstacle_candidate,artificial_structures,0
75-100,misc_sign,obstacle_candidate,artificial_ground,0
75-100,misc_sign,obstacle_candidate,natural_ground,0
75-100,misc_sign,obstacle_candidate,obstacle,0
75-100,misc_sign,obstacle_candidate,vehicle,0
75-100,misc_sign,obstacle_candidate,vegetation,5
75-100,misc_sign,obstacle_candidate,human,0
75-100,obstacle,obstacle_candidate,other,0
75-100,obstacle,obstacle_candidate,artificial_structures,0
75-100,obstacle,obstacle_candidate,artificial_ground,0
75-100,obstacle,obstacle_candidate,natural_ground,3
75-100,obstacle,obstacle_candidate,obstacle,7
75-100,obstacle,obstacle_candidate,vehicle,0
75-100,obstacle,obstacle_candidate,vegetation,158
75-100,obstacle,obstacle_candidate,human,0
75-100,pole,obstacle_candidate,other,0
75-100,pole,obstacle_candidate,artificial_structures,0
75-100,pole,obstacle_candidate,artificial_ground,0
75-100,pole,obstacle_candidate,natural_ground,0
75-100,pole,obstacle_candidate,obstacle,2
75-100,pole,obstacle_candidate,vehicle,0
75-100,pole,obstacle_candidate,vegetation,0
75-100,pole,obstacle_candidate,human,0
75-100,road_marking,ground_surface,other,0
75-100,road_marking,ground_surface,artificial_structures,0
75-100,road_marking,ground_surface,artificial_ground,10
75-100,road_marking,ground_surface,natural_ground,28
75-100,road_marking,ground_surface,obstacle,0
75-100,road_marking,ground_surface,vehicle,0
75-100,road_marking,ground_surface,vegetation,11
75-100,road_marking,ground_surface,human,0
75-100,soil,ground_surface,other,0
75-100,soil,ground_surface,artificial_structures,0
75-100,soil,ground_surface,artificial_ground,0
75-100,soil,ground_surface,natural_ground,187
75-100,soil,ground_surface,obstacle,0
75-100,soil,ground_surface,vehicle,0
75-100,soil,ground_surface,vegetation,69
75-100,soil,ground_surface,human,0
75-100,street_light,obstacle_candidate,other,0
75-100,street_light,obstacle_candidate,artificial_structures,0
75-100,street_light,obstacle_candidate,artificial_ground,0
75-100,street_light,obstacle_candidate,natural_ground,0
75-100,street_light,obstacle_candidate,obstacle,0
75-100,street_light,obstacle_candidate,vehicle,0
75-100,street_light,obstacle_candidate,vegetation,6
75-100,street_light,obstacle_candidate,human,0
75-100,tree_crown,vegetation,other,0
75-100,tree_crown,vegetation,artificial_structures,29
75-100,tree_crown,vegetation,artificial_ground,0
75-100,tree_crown,vegetation,natural_ground,0
75-100,tree_crown,vegetation,obstacle,0
75-100,tree_crown,vegetation,vehicle,0
75-100,tree_crown,vegetation,vegetation,775
75-100,tree_crown,vegetation,human,0
75-100,tree_trunk,obstacle_candidate,other,0
75-100,tree_trunk,obstacle_candidate,artificial_structures,0
75-100,tree_trunk,obstacle_candidate,artificial_ground,0
75-100,tree_trunk,obstacle_candidate,natural_ground,0
75-100,tree_trunk,obstacle_candidate,obstacle,0
75-100,tree_trunk,obstacle_candidate,vehicle,0
75-100,tree_trunk,obstacle_candidate,vegetation,16
75-100,tree_trunk,obstacle_candidate,human,0
