band_m,true_class,predicted_class,points,true_class_points
50-75,artificial_ground,obstacle,0,4859
50-75,artificial_ground,vehicle,0,4859
50-75,artificial_ground,vegetation,173,4859
50-75,artificial_ground,human,0,4859
50-75,natural_ground,other,0,26396
50-75,natural_ground,artificial_structures,3,26396
50-75,natural_ground,artificial_ground,31,26396
50-75,natural_ground,natural_ground,20783,26396
50-75,natural_ground,obstacle,90,26396
50-75,natural_ground,vehicle,0,26396
50-75,natural_ground,vegetation,5489,26396
50-75,natural_ground,human,0,26396
50-75,obstacle,other,0,5143
50-75,obstacle,artificial_structures,72,5143
50-75,obstacle,artificial_ground,15,5143
50-75,obstacle,natural_ground,63,5143
50-75,obstacle,obstacle,2372,5143
50-75,obstacle,vehicle,0,5143
50-75,obstacle,vegetation,2621,5143
50-75,obstacle,human,0,5143
50-75,vehicle,other,0,87
50-75,vehicle,artificial_structures,17,87
50-75,vehicle,artificial_ground,0,87
50-75,vehicle,natural_ground,0,87
50-75,vehicle,obstacle,64,87
50-75,vehicle,vehicle,4,87
50-75,vehicle,vegetation,2,87
50-75,vehicle,human,0,87
50-75,vegetation,other,0,139939
50-75,vegetation,artificial_structures,28,139939
50-75,vegetation,artificial_ground,27,139939
50-75,vegetation,natural_ground,3201,139939
50-75,vegetation,obstacle,739,139939
50-75,vegetation,vehicle,2,139939
50-75,vegetation,vegetation,135942,139939
50-75,vegetation,human,0,139939
50-75,human,other,0,0
50-75,human,artificial_structures,0,0
50-75,human,artificial_ground,0,0
50-75,human,natural_ground,0,0
50-75,human,obstacle,0,0
50-75,human,vehicle,0,0
50-75,human,vegetation,0,0
50-75,human,human,0,0
75-100,other,other,0,0
75-100,other,artificial_structures,0,0
75-100,other,artificial_ground,0,0
75-100,other,natural_ground,0,0
75-100,other,obstacle,0,0
75-100,other,vehicle,0,0
75-100,other,vegetation,0,0
75-100,other,human,0,0
75-100,artificial_structures,other,0,24066
75-100,artificial_structures,artificial_structures,21322,24066
75-100,artificial_structures,artificial_ground,2,24066
75-100,artificial_structures,natural_ground,322,24066
75-100,artificial_structures,obstacle,584,24066
75-100,artificial_structures,vehicle,28,24066
75-100,artificial_structures,vegetation,1808,24066
75-100,artificial_structures,human,0,24066
75-100,artificial_ground,other,0,1103
75-100,artificial_ground,artificial_structures,0,1103
75-100,artificial_ground,artificial_ground,528,1103
75-100,artificial_ground,natural_ground,513,1103
75-100,artificial_ground,obstacle,0,1103
75-100,artificial_ground,vehicle,0,1103
75-100,artificial_ground,vegetation,62,1103
75-100,artificial_ground,human,0,1103
75-100,natural_ground,other,0,10284
75-100,natural_ground,artificial_structures,0,10284
75-100,natural_ground,artificial_ground,20,10284
75-100,natural_ground,natural_ground,6254,10284
75-100,natural_ground,obstacle,29,10284
75-100,natural_ground,vehicle,3,10284
75-100,natural_ground,vegetation,3978,10284
75-100,natural_ground,human,0,10284
75-100,obstacle,other,0,2253
75-100,obstacle,artificial_structures,0,2253
75-100,obstacle,artificial_ground,0,2253
75-100,obstacle,natural_ground,79,2253
75-100,obstacle,obstacle,693,2253
75-100,obstacle,vehicle,0,2253
75-100,obstacle,vegetation,1481,2253
75-100,obstacle,human,0,2253
75-100,vehicle,other,0,124
75-100,vehicle,artificial_structures,0,124
75-100,vehicle,artificial_ground,0,124
75-100,vehicle,natural_ground,17,124
75-100,vehicle,obstacle,42,124
75-100,vehicle,vehicle,42,124
75-100,vehicle,vegetation,23,124
75-100,vehicle,human,0,124
75-100,vegetation,other,0,88353
75-100,vegetation,artificial_structures,35,88353
75-100,vegetation,artificial_ground,29,88353
75-100,vegetation,natural_ground,1310,88353
75-100,vegetation,obstacle,231,88353
75-100,vegetation,vehicle,7,88353
75-100,vegetation,vegetation,86741,88353
75-100,vegetation,human,0,88353
75-100,human,other,0,0
75-100,human,artificial_structures,0,0
75-100,human,artificial_ground,0,0
75-100,human,natural_ground,0,0
75-100,human,obstacle,0,0
75-100,human,vehicle,0,0
75-100,human,vegetation,0,0
75-100,human,human,0,0
100-150,other,other,0,1
100-150,other,artificial_structures,0,1
100-150,other,artificial_ground,0,1
100-150,other,natural_ground,0,1
100-150,other,obstacle,0,1
100-150,other,vehicle,0,1
100-150,other,vegetation,1,1
100-150,other,human,0,1
100-150,artificial_structures,other,0,25316
100-150,artificial_structures,artificial_structures,22038,25316
100-150,artificial_structures,artificial_ground,376,25316
100-150,artificial_structures,natural_ground,1421,25316
100-150,artificial_structures,obstacle,213,25316
100-150,artificial_structures,vehicle,0,25316
100-150,artificial_structures,vegetation,1268,25316
100-150,artificial_structures,human,0,25316
100-150,artificial_ground,other,0,152
100-150,artificial_ground,artificial_structures,0,152
100-150,artificial_ground,artificial_ground,34,152
100-150,artificial_ground,natural_ground,99,152
100-150,artificial_ground,obstacle,0,152
100-150,artificial_ground,vehicle,0,152
100-150,artificial_ground,vegetation,19,152
100-150,artificial_ground,human,0,152
100-150,natural_ground,other,0,6513
100-150,natural_ground,artificial_structures,0,6513
100-150,natural_ground,artificial_ground,19,6513
100-150,natural_ground,natural_ground,4143,6513
100-150,natural_ground,obstacle,10,6513
100-150,natural_ground,vehicle,5,6513
100-150,natural_ground,vegetation,2336,6513
100-150,natural_ground,human,0,6513
100-150,obstacle,other,0,1394
100-150,obstacle,artificial_structures,0,1394
100-150,obstacle,artificial_ground,4,1394
100-150,obstacle,natural_ground,103,1394
100-150,obstacle,obstacle,215,1394
100-150,obstacle,vehicle,0,1394
100-150,obstacle,vegetation,1072,1394
100-150,obstacle,human,0,1394
100-150,vehicle,other,0,160
100-150,vehicle,artificial_structures,0,160
100-150,vehicle,artificial_ground,0,160
100-150,vehicle,natural_ground,17,160
100-150,vehicle,obstacle,77,160
100-150,vehicle,vehicle,50,160
100-150,vehicle,vegetation,16,160
100-150,vehicle,human,0,160
100-150,vegetation,other,0,84372
100-150,vegetation,artificial_structures,141,84372
100-150,vegetation,artificial_ground,6,84372
100-150,vegetation,natural_ground,986,84372
100-150,vegetation,obstacle,409,84372
100-150,vegetation,vehicle,2,84372
100-150,vegetation,vegetation,82828,84372
100-150,vegetation,human,0,84372
100-150,human,other,0,0
100-150,human,artificial_structures,0,0
100-150,human,artificial_ground,0,0
100-150,human,natural_ground,0,0
100-150,human,obstacle,0,0
100-150,human,vehicle,0,0
100-150,human,vegetation,0,0
100-150,human,human,0,0
150+,other,other,0,3
150+,other,artificial_structures,0,3
150+,other,artificial_ground,0,3
150+,other,natural_ground,0,3
150+,other,obstacle,0,3
150+,other,vehicle,0,3
150+,other,vegetation,3,3
150+,other,human,0,3
150+,artificial_structures,other,0,966
150+,artificial_structures,artificial_structures,640,966
150+,artificial_structures,artificial_ground,0,966
150+,artificial_structures,natural_ground,169,966
150+,artificial_structures,obstacle,30,966
150+,artificial_structures,vehicle,0,966
150+,artificial_structures,vegetation,127,966
150+,artificial_structures,human,0,966
150+,artificial_ground,other,0,0
150+,artificial_ground,artificial_structures,0,0
150+,artificial_ground,artificial_ground,0,0
150+,artificial_ground,natural_ground,0,0
150+,artificial_ground,obstacle,0,0
150+,artificial_ground,vehicle,0,0
150+,artificial_ground,vegetation,0,0
150+,artificial_ground,human,0,0
150+,natural_ground,other,0,491
150+,natural_ground,artificial_structures,0,491
150+,natural_ground,artificial_ground,3,491
150+,natural_ground,natural_ground,390,491
150+,natural_ground,obstacle,0,491
150+,natural_ground,vehicle,0,491
150+,natural_ground,vegetation,98,491
150+,natural_ground,human,0,491
150+,obstacle,other,0,193
150+,obstacle,artificial_structures,0,193
150+,obstacle,artificial_ground,0,193
150+,obstacle,natural_ground,15,193
150+,obstacle,obstacle,129,193
150+,obstacle,vehicle,0,193
150+,obstacle,vegetation,49,193
150+,obstacle,human,0,193
150+,vehicle,other,0,0
150+,vehicle,artificial_structures,0,0
150+,vehicle,artificial_ground,0,0
150+,vehicle,natural_ground,0,0
150+,vehicle,obstacle,0,0
150+,vehicle,vehicle,0,0
150+,vehicle,vegetation,0,0
150+,vehicle,human,0,0
150+,vegetation,other,0,29785
150+,vegetation,artificial_structures,229,29785
150+,vegetation,artificial_ground,0,29785
150+,vegetation,natural_ground,213,29785
150+,vegetation,obstacle,37,29785
150+,vegetation,vehicle,2,29785
150+,vegetation,vegetation,29304,29785
150+,vegetation,human,0,29785
150+,human,other,0,0
150+,human,artificial_structures,0,0
150+,human,artificial_ground,0,0
150+,human,natural_ground,0,0
150+,human,obstacle,0,0
150+,human,vehicle,0,0
150+,human,vegetation,0,0
150+,human,human,0,0
