mode,margin_m,band_m,cohort,observations,instances,scenes,lidar_supported,radar_supported,both,lidar_only,radar_only,neither,lidar_percent,radar_percent,difference_pp,min_range_m,max_range_m,lidar_ge_3_percent,lidar_ge_5_percent,lidar_points_p25,lidar_points_p50,lidar_points_p75,lidar_points_p90,lidar_equal_track_percent,radar_ge_3_percent,radar_ge_5_percent,radar_points_p25,radar_points_p50,radar_points_p75,radar_points_p90,radar_equal_track_percent
static_same_subset,0,100-150,all,1213,58,1,446,178,134,312,44,723,36.76834295136026,14.674361088211047,22.093981863149214,100.01457537159469,149.98265214178997,17.394888705688377,11.788953009068425,0.0,0.0,1.0,6.0,41.405778324012914,10.469909315746085,9.892827699917559,0.0,0.0,0.0,3.7999999999999545,16.41567559775925
static_same_subset,0,100-150,vehicles,238,19,1,179,155,128,51,27,32,75.21008403361344,65.12605042016807,10.084033613445376,100.72348409572426,149.98265214178997,57.14285714285714,48.739495798319325,1.0,4.0,23.0,50.60000000000002,71.03801169590643,53.36134453781513,50.42016806722689,0.0,5.0,10.0,19.0,45.0
static_same_subset,0,150-200,all,1329,49,1,548,436,348,200,88,693,41.23401053423627,32.8066215199398,8.427389014296466,150.0086873666493,199.9727196236663,32.58088788562829,28.517682468021064,0.0,0.0,7.0,49.200000000000045,29.934261758165228,22.04665161775771,15.65086531226486,0.0,0.0,2.0,7.0,14.679644722923923
static_same_subset,0,150-200,vehicles,579,13,1,426,434,348,78,86,67,73.57512953367875,74.95682210708118,-1.3816925734024266,150.0086873666493,199.9727196236663,68.22107081174438,63.38514680483593,0.0,10.0,45.0,74.0,64.87005199146265,50.604490500863555,35.92400690846287,0.5,3.0,6.0,12.0,54.42599119545534
static_same_subset,0,200-250,all,767,41,1,268,132,89,179,43,456,34.94132985658409,17.209908735332462,17.73142112125163,200.00315051034195,249.99656504791636,22.946544980443285,16.558018252933508,0.0,0.0,2.0,12.0,30.676910465929442,4.69361147327249,0.1303780964797914,0.0,0.0,0.0,2.0,9.287201422045426
static_same_subset,0,200-250,vehicles,255,9,1,157,132,89,68,43,55,61.568627450980394,51.76470588235295,9.80392156862745,200.01251389859453,249.9157658332935,50.98039215686274,44.70588235294118,0.0,3.0,17.0,51.599999999999994,63.033789458274605,14.117647058823529,0.39215686274509803,0.0,1.0,2.0,3.0,42.30836203376249
static_same_subset,0,250-300,all,594,28,1,234,94,85,149,9,351,39.39393939393939,15.824915824915825,23.569023569023567,250.11739360716103,299.87006924638484,33.5016835016835,28.114478114478114,0.0,0.0,6.0,13.0,27.824668662091916,0.8417508417508417,0.0,0.0,0.0,0.0,1.0,5.9504572419282304
static_same_subset,0,250-300,vehicles,264,5,1,193,94,85,108,9,62,73.10606060606061,35.60606060606061,37.5,250.11750228053708,299.5495255467652,69.31818181818183,62.5,0.0,6.0,12.0,19.0,60.7037654227474,1.893939393939394,0.0,0.0,0.0,1.0,1.0,33.322560554798095
static_same_subset,0,300-400,all,317,17,1,91,24,23,68,1,225,28.706624605678233,7.570977917981073,21.13564668769716,300.0392261284474,398.2987651940153,23.65930599369085,20.189274447949526,0.0,0.0,2.0,14.400000000000034,18.828424972550142,0.0,0.0,0.0,0.0,0.0,0.0,1.8823529411764708
static_same_subset,0,300-400,vehicles,88,3,1,74,24,23,51,1,13,84.0909090909091,27.27272727272727,56.81818181818182,305.3321725206024,360.39229981232,77.27272727272727,68.18181818181817,3.0,8.0,22.0,42.3,74.44444444444444,0.0,0.0,0.0,0.0,1.0,1.2999999999999972,10.666666666666668
static_same_subset,0.5,100-150,all,1213,58,1,1111,608,570,541,38,64,91.59109645507007,50.12366034624897,41.46743610882111,100.01457537159469,149.98265214178997,86.3149216817807,81.36850783182193,7.0,18.0,35.0,59.0,86.69826228693474,12.61335531739489,10.717230008244023,0.0,1.0,1.0,7.0,47.05064566753207
static_same_subset,0.5,100-150,vehicles,238,19,1,196,173,152,44,21,21,82.35294117647058,72.68907563025209,9.663865546218487,100.72348409572426,149.98265214178997,64.28571428571429,56.30252100840336,1.25,6.0,132.75,279.7000000000001,78.2123870281765,59.66386554621849,54.621848739495796,0.0,7.5,16.0,27.30000000000001,60.79944178628388
static_same_subset,0.5,150-200,all,1329,49,1,1135,627,554,581,73,121,85.4025583145222,47.17832957110609,38.2242287434161,150.0086873666493,199.9727196236663,78.48006019563582,71.78329571106094,4.0,12.0,27.0,316.4000000000001,83.19289466840465,31.677953348382243,26.486079759217457,0.0,0.0,5.0,12.0,31.106878519423013
static_same_subset,0.5,150-200,vehicles,579,13,1,469,487,423,46,64,46,81.00172711571675,84.11053540587218,-3.1088082901554404,150.0086873666493,199.9727196236663,77.0293609671848,71.84801381692574,4.0,16.0,288.0,493.20000000000005,80.57430959455759,72.19343696027633,60.79447322970639,2.0,6.0,11.0,21.0,62.959133205376304
static_same_subset,0.5,200-250,all,767,41,1,622,269,208,414,61,84,81.09517601043025,35.071707953063886,46.023468057366365,200.00315051034195,249.99656504791636,71.4471968709257,62.05997392438071,2.0,7.0,20.0,62.39999999999998,78.58055219717986,12.777053455019557,7.301173402868318,0.0,0.0,1.0,3.0,23.90372297781134
